Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : EL ESTRECHO
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,PUTUMAYO
Latitud :,2°26'47.94'',Longitud :,72°39'51.61'',Altitud :,110 msnm.
Tipo :,CO - Meteorológica,Código :,102006
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2024-11-01,33.8,S/D,84.2,0.0
2024-11-02,35.4,S/D,88.0,45.2
2024-11-03,30.6,S/D,95.4,17.6
2024-11-04,34.6,S/D,87.9,0.0
2024-11-05,34.2,S/D,88.6,0.0
2024-11-06,34.8,S/D,86.2,0.0
2024-11-07,35.4,S/D,88.3,0.0
2024-11-08,34.6,S/D,87.2,26.8
2024-11-09,34.8,S/D,88.6,0.0
2024-11-10,33.6,S/D,83.8,0.0
2024-11-11,34.8,S/D,85.7,0.0
2024-11-12,34.2,S/D,86.5,0.0
2024-11-13,34,S/D,86.2,0.0
2024-11-14,33.8,S/D,84.8,4.5
2024-11-15,34.4,S/D,87.1,0.0
2024-11-16,33.6,S/D,87.4,5.2
2024-11-17,34,S/D,89.0,0.0
2024-11-18,33.8,S/D,81.0,2.0
2024-11-19,34.6,S/D,90.9,1.8
2024-11-20,33.6,S/D,86.9,40.6
2024-11-21,31.8,S/D,91.2,0.0
2024-11-22,32.6,S/D,86.9,10.6
2024-11-23,33.4,S/D,86.3,0.0
2024-11-24,34.8,S/D,84.4,0.0
2024-11-25,34.2,S/D,90.0,12.4
2024-11-26,33.4,S/D,86.5,3.6
2024-11-27,34.2,S/D,87.0,0.0
2024-11-28,33.8,S/D,87.6,22.2
2024-11-29,32.6,S/D,89.7,17.9
2024-11-30,33.8,S/D,85.6,0.0
