Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : EL ESTRECHO
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,PUTUMAYO
Latitud :,2°26'47.94'',Longitud :,72°39'51.61'',Altitud :,110 msnm.
Tipo :,CO - Meteorológica,Código :,102006
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2025-07-01,29.6,22.6,96.8,14.3
2025-07-02,S/D,20.4,S/D,1.2
2025-07-03,29.8,18.8,93.1,0.0
2025-07-04,26.8,19.8,S/D,0.0
2025-07-05,30.8,20.6,92.3,0.0
2025-07-06,29.4,20.4,93.9,0.0
2025-07-07,29.8,21.8,96.8,36.0
2025-07-08,30.2,22,91.5,6.5
2025-07-09,31.4,22,93.0,19.5
2025-07-10,30.2,21.8,91.5,31.3
2025-07-11,29.8,20.6,95.3,1.8
2025-07-12,31.6,22.8,95.0,7.2
2025-07-13,30.4,22,91.8,39.3
2025-07-14,31,22.4,92.8,2.9
2025-07-15,31,22.6,93.4,4.5
2025-07-16,32,21.6,93.3,1.1
2025-07-17,30.4,20.8,91.0,18.4
2025-07-18,29.8,21.2,S/D,17.3
2025-07-19,32.2,22.6,90.4,2.0
2025-07-20,31.4,20.8,92.9,74.3
2025-07-21,30.8,21.6,92.1,13.2
2025-07-22,32.2,21.8,92.0,15.4
2025-07-23,30.4,21.6,S/D,27.5
2025-07-24,31.6,21.6,93.7,0.6
2025-07-25,32.4,22.8,95.2,1.9
2025-07-26,32.2,21.6,89.8,0.0
2025-07-27,32.6,21.6,87.0,0.1
2025-07-28,33.4,22.4,87.9,6.4
2025-07-29,31,21.6,89.7,1.1
2025-07-30,33.2,21.4,94.6,17.8
2025-07-31,31.8,22.2,91.1,0.0
