Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : EL MARONAL
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,CURIMANA
Latitud :,8°27'0'',Longitud :,75°5'48.5'',Altitud :,178 msnm.
Tipo :,CP - Meteorológica,Código :,108027
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2022-01-01,30.6,20.4,92.2,S/D
2022-01-02,30.4,21.2,93.9,S/D
2022-01-03,29.2,19.8,91.5,S/D
2022-01-04,32.4,18.8,93.2,S/D
2022-01-05,32.8,22,91.9,S/D
2022-01-06,31.8,22.4,91.7,S/D
2022-01-07,32.6,19.6,86.7,S/D
2022-01-08,32.4,19.8,91.8,S/D
2022-01-09,29.2,20,93.7,S/D
2022-01-10,32.6,21.2,94.5,S/D
2022-01-11,30.4,19.6,94.0,S/D
2022-01-12,32.6,20.4,92.0,S/D
2022-01-13,36.2,21.4,91.5,S/D
2022-01-14,34.4,22.6,92.3,S/D
2022-01-15,32.8,23,88.7,S/D
2022-01-16,36.4,20.2,89.9,S/D
2022-01-17,32,22.8,91.1,S/D
2022-01-18,30.4,22,95.3,S/D
2022-01-19,32.6,20.8,94.8,S/D
2022-01-20,34.2,22.4,86.1,S/D
2022-01-21,28,20.6,92.5,S/D
2022-01-22,28.6,18.2,95.6,S/D
2022-01-23,26,19.4,94.9,S/D
2022-01-24,25.4,19.8,93.3,S/D
2022-01-25,29.2,22,92.2,S/D
2022-01-26,32,19.2,88.9,S/D
2022-01-27,36.4,20,90.3,S/D
2022-01-28,32.2,21.8,89.2,S/D
2022-01-29,34.8,23.2,89.1,S/D
2022-01-30,32,22.8,90.9,S/D
2022-01-31,33.4,18.6,85.2,S/D
