Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : EL MARONAL
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,CURIMANA
Latitud :,8°27'0'',Longitud :,75°5'48.5'',Altitud :,178 msnm.
Tipo :,CP - Meteorológica,Código :,108027
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2021-12-01,30,21,91.8,S/D
2021-12-02,28,20.6,90.9,S/D
2021-12-03,29.6,19.6,91.7,S/D
2021-12-04,27.6,19.2,93.5,S/D
2021-12-05,27.6,18.4,92.0,S/D
2021-12-06,28.8,18.6,92.1,S/D
2021-12-07,29.4,19,89.2,S/D
2021-12-08,28.6,19.4,91.3,S/D
2021-12-09,29.8,20.6,92.4,S/D
2021-12-10,27,19.6,93.9,S/D
2021-12-11,32,21.4,90.7,S/D
2021-12-12,31.8,19.2,92.0,S/D
2021-12-13,28.8,18,92.3,S/D
2021-12-14,29.6,17.6,93.5,S/D
2021-12-15,27.4,18.4,91.8,S/D
2021-12-16,31.2,21.8,90.1,S/D
2021-12-17,28.6,20,91.5,S/D
2021-12-18,30.8,19.8,91.5,S/D
2021-12-19,31.6,21.4,91.1,S/D
2021-12-20,30.8,22.2,93.4,S/D
2021-12-21,31.8,22.4,92.5,S/D
2021-12-22,28.4,19.8,91.9,S/D
2021-12-23,27.6,18.2,94.9,S/D
2021-12-24,29.6,18.4,91.2,S/D
2021-12-25,27.4,19.2,94.5,S/D
2021-12-26,30.2,20.4,91.5,S/D
2021-12-27,32.6,22,89.9,S/D
2021-12-28,31.8,18.8,91.1,S/D
2021-12-29,33.8,19.4,88.4,S/D
2021-12-30,34.2,20.8,89.0,S/D
2021-12-31,33.4,21.4,89.3,S/D
