Estación : SANTA MARIA DE NANAY
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,ALTO NANAY
Latitud :,3°53'20.61'',Longitud :,73°41'46.08'',Altitud :,94 msnm.
Tipo :,HLM - Hidrológica,Código :,240001
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2020-06-01,7.70,7.70,7.71,7.73,7.71
2020-06-02,7.78,7.79,7.79,7.80,7.79
2020-06-03,7.81,7.81,7.81,7.80,7.81
2020-06-04,7.80,7.77,7.75,7.72,7.76
2020-06-05,7.71,7.70,7.69,7.66,7.69
2020-06-06,7.65,7.63,7.61,7.57,7.62
2020-06-07,7.56,7.54,7.52,7.50,7.53
2020-06-08,7.49,7.48,7.45
