Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : GENARO HERRERA
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,JENARO HERRERA
Latitud :,4°54'7.1'',Longitud :,73°40'17.35'',Altitud :,97 msnm.
Tipo :,HLM - Hidrológica,Código :,251104
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-04-01,14.61,14.61,14.61,14.61,14.61
2024-04-02,14.60,14.60,14.63,14.63,14.62
2024-04-03,14.63,14.62,14.62,14.62,14.62
2024-04-04,14.61,14.61,14.60,14.60,14.61
2024-04-05,14.59,14.59,14.58,14.58,14.59
2024-04-06,14.58,14.58,14.58,14.58,14.58
2024-04-07,14.58,14.58,14.58,14.58,14.58
2024-04-08,14.57,14.57,14.58,14.59,14.58
2024-04-09,14.58,14.58,14.58,14.58,14.58
2024-04-10,14.57,14.57,14.58,14.58,14.58
2024-04-11,14.58,14.58,14.58,14.58,14.58
2024-04-12,14.57,14.57,14.57,14.57,14.57
2024-04-13,14.55,14.55,14.55,14.55,14.55
2024-04-14,14.56,14.56,14.56,14.56,14.56
2024-04-15,14.54,14.54,14.54,14.54,14.54
2024-04-16,14.53,14.53,14.52,14.52,14.53
2024-04-17,14.48,14.48,14.47,14.47,14.48
2024-04-18,14.46,14.46,14.45,14.45,14.46
2024-04-19,14.42,14.42,14.40,14.40,14.41
2024-04-20,14.37,14.37,14.35,14.35,14.36
2024-04-21,14.33,14.33,14.32,14.31,14.32
2024-04-22,14.27,14.27,14.24,14.24,14.26
2024-04-23,14.23,14.22,14.21,14.21,14.22
2024-04-24,14.17,14.17,14.17,14.17,14.17
2024-04-25,14.17,14.17,14.17,14.16,14.17
2024-04-26,14.16,14.16,14.16,14.16,14.16
2024-04-27,14.16,14.16,14.16,14.15,14.16
2024-04-28,14.15,14.15,14.15,14.15,14.15
2024-04-29,14.13,14.12,14.12,14.10,14.12
2024-04-30,14.08,14.08,14.08,14.07,14.08
