Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : GENARO HERRERA
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,JENARO HERRERA
Latitud :,4°54'7.1'',Longitud :,73°40'17.35'',Altitud :,97 msnm.
Tipo :,HLM - Hidrológica,Código :,251104
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-01-01,12.69,12.69,12.71,12.72,12.70
2025-01-02,12.74,12.74,12.75,12.77,12.75
2025-01-03,12.80,12.81,12.81,12.83,12.81
2025-01-04,12.86,12.86,12.85,12.85,12.86
2025-01-05,12.83,12.85,12.85,12.85,12.85
2025-01-06,12.85,12.85,12.85,12.85,12.85
2025-01-07,12.88,12.88,12.88,12.88,12.88
2025-01-08,12.88,12.88,12.88,12.88,12.88
2025-01-09,12.86,12.86,12.87,12.87,12.87
2025-01-10,12.87,12.87,12.86,12.85,12.86
2025-01-11,12.85,12.85,12.85,12.85,12.85
2025-01-12,12.85,12.85,12.85,12.85,12.85
2025-01-13,12.85,12.85,12.85,12.85,12.85
2025-01-14,12.85,12.85,12.85,12.85,12.85
2025-01-15,12.85,12.85,12.83,12.82,12.84
2025-01-16,12.83,12.85,12.85,12.86,12.85
2025-01-17,12.88,12.88,12.87,12.86,12.87
2025-01-18,12.85,12.85,12.85,12.85,12.85
2025-01-19,12.81,12.83,12.81,12.80,12.81
2025-01-20,12.77,12.75,12.73,12.70,12.74
2025-01-21,12.83,12.71,12.70,12.70,12.74
2025-01-22,12.68,12.67,12.67,12.65,12.67
2025-01-23,12.63,12.63,12.63,12.62,12.63
2025-01-24,12.62,12.60,12.60,12.58,12.60
2025-01-25,12.57,12.56,12.55,12.55,12.56
2025-01-26,12.53,12.52,12.50,12.50,12.51
2025-01-27,12.51,12.50,12.50,12.50,12.50
2025-01-28,12.49,12.79,12.79,12.49,12.64
2025-01-29,12.49,12.47,12.47,12.46,12.47
2025-01-30,12.45,12.44,12.44,12.44,12.44
2025-01-31,12.40,12.40,12.40,12.40,12.40
