Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : GENARO HERRERA
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,JENARO HERRERA
Latitud :,4°54'7.1'',Longitud :,73°40'17.35'',Altitud :,97 msnm.
Tipo :,HLM - Hidrológica,Código :,251104
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2021-03-01,14.40,14.42,14.45,14.50,14.44
2021-03-02,14.60,14.62,14.65,14.70,14.64
2021-03-03,14.75,14.75,14.73,14.70,14.73
2021-03-04,14.70,14.70,14.70,14.70,14.70
2021-03-05,14.70,14.70,14.69,14.68,14.69
2021-03-06,14.68,14.68,14.68,14.68,14.68
2021-03-07,14.70,14.70,14.70,14.70,14.70
2021-03-08,14.70,14.70,14.70,14.70,14.70
2021-03-09,14.70,14.70,14.68,14.68,14.69
2021-03-10,14.67,14.67,14.67,14.67,14.67
2021-03-11,14.67,14.66,14.64,14.60,14.64
2021-03-12,14.55,14.55,14.55,14.55,14.55
2021-03-13,14.53,14.53,14.53,14.53,14.53
2021-03-14,14.55,14.56,14.58,14.60,14.57
2021-03-15,14.62,14.66,14.68,14.70,14.67
2021-03-16,14.70,14.70,14.70,14.70,14.70
2021-03-17,14.75,14.75,14.74,14.73,14.74
2021-03-18,14.73,14.73,14.72,14.71,14.72
2021-03-19,14.74,14.74,14.74,14.74,14.74
2021-03-20,14.73,14.72,14.72,14.72,14.72
2021-03-21,14.73,14.73,14.73,14.73,14.73
2021-03-22,14.73,14.73,14.73,14.74,14.73
2021-03-23,14.75,14.75,14.75,14.75,14.75
2021-03-24,14.77,14.77,14.78,14.78,14.78
2021-03-25,14.80,14.80,14.80,14.80,14.80
2021-03-26,14.79,14.79,14.78,14.78,14.79
2021-03-27,14.77,14.77,14.77,14.77,14.77
2021-03-28,14.77,14.77,14.78,14.79,14.78
2021-03-29,14.82,14.83,14.85,14.87,14.84
2021-03-30,14.87,14.87,14.87,14.87,14.87
2021-03-31,14.88,14.88,14.89,14.89,14.89
