Estación : CORRAL QUEMADO
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,CUMBA
Latitud :,5°45'16.6'',Longitud :,78°41'31.5'',Altitud :,427 msnm.
Tipo :,EHA - Hidrológica,Código :,472B607A
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2024/12/01,00:00,9.91,0.0
2024/12/01,01:00,9.94,0.0
2024/12/01,02:00,9.98,0.0
2024/12/01,03:00,10.00,0.0
2024/12/01,04:00,10.01,0.0
2024/12/01,05:00,10.03,0.0
2024/12/01,06:00,10.03,0.0
2024/12/01,07:00,10.03,0.0
2024/12/01,08:00,10.04,0.0
2024/12/01,09:00,10.04,0.0
2024/12/01,10:00,10.03,0.0
2024/12/01,11:00,10.04,0.0
2024/12/01,12:00,10.03,0.0
2024/12/01,13:00,10.02,0.0
2024/12/01,14:00,10.02,0.0
2024/12/01,15:00,10.01,0.0
2024/12/01,16:00,10.00,0.0
2024/12/01,17:00,9.98,0.0
2024/12/01,18:00,9.98,0.0
2024/12/01,19:00,9.96,0.0
2024/12/01,20:00,9.96,0.0
2024/12/01,21:00,9.95,0.0
2024/12/01,22:00,9.93,0.0
2024/12/01,23:00,9.91,0.0
2024/12/02,00:00,9.92,0.0
2024/12/02,01:00,9.90,0.0
2024/12/02,02:00,9.89,0.0
2024/12/02,03:00,9.87,0.0
2024/12/02,04:00,9.85,0.0
2024/12/02,05:00,9.86,0.0
2024/12/02,06:00,9.85,0.0
2024/12/02,07:00,9.84,0.0
2024/12/02,08:00,9.83,0.0
2024/12/02,09:00,9.84,0.0
2024/12/02,10:00,9.85,0.0
2024/12/02,11:00,9.85,0.0
2024/12/02,12:00,9.85,0.0
2024/12/02,13:00,9.84,0.0
2024/12/02,14:00,9.84,0.0
2024/12/02,15:00,9.83,0.0
2024/12/02,16:00,9.82,0.0
2024/12/02,17:00,9.80,0.0
2024/12/02,18:00,9.81,0.0
2024/12/02,19:00,9.80,0.0
2024/12/02,20:00,9.78,0.0
2024/12/02,21:00,9.77,0.0
2024/12/02,22:00,9.77,0.0
2024/12/02,23:00,9.75,0.0
2024/12/03,00:00,9.75,0.0
2024/12/03,01:00,9.74,0.0
2024/12/03,02:00,9.73,0.0
2024/12/03,03:00,9.72,0.0
2024/12/03,04:00,9.71,0.0
2024/12/03,05:00,9.71,0.0
2024/12/03,06:00,9.68,0.0
2024/12/03,07:00,9.68,0.0
2024/12/03,08:00,9.68,0.0
2024/12/03,09:00,9.68,0.0
2024/12/03,10:00,9.69,0.0
2024/12/03,11:00,9.73,0.0
2024/12/03,12:00,9.72,0.0
2024/12/03,13:00,9.71,0.0
2024/12/03,14:00,9.71,0.0
2024/12/03,15:00,9.71,0.0
2024/12/03,16:00,9.71,0.0
2024/12/03,17:00,9.71,0.0
2024/12/03,18:00,9.70,0.0
2024/12/03,19:00,9.69,0.0
2024/12/03,20:00,9.69,0.0
2024/12/03,21:00,9.68,0.0
2024/12/03,22:00,9.68,0.0
2024/12/03,23:00,9.70,0.0
2024/12/04,00:00,9.69,0.0
2024/12/04,01:00,9.69,0.0
2024/12/04,02:00,9.68,0.0
2024/12/04,03:00,9.67,0.0
2024/12/04,04:00,9.66,0.0
2024/12/04,05:00,9.67,0.0
2024/12/04,06:00,9.67,0.0
2024/12/04,07:00,9.67,0.0
2024/12/04,08:00,9.65,0.0
2024/12/04,09:00,9.68,0.0
2024/12/04,10:00,9.72,0.0
2024/12/04,11:00,9.74,0.0
2024/12/04,12:00,9.75,0.0
2024/12/04,13:00,9.75,0.0
2024/12/04,14:00,9.76,0.0
2024/12/04,15:00,9.79,0.0
2024/12/04,16:00,9.83,0.0
2024/12/04,17:00,9.82,0.0
2024/12/04,18:00,9.82,0.0
2024/12/04,19:00,9.81,0.0
2024/12/04,20:00,9.87,0.0
2024/12/04,21:00,9.89,0.0
2024/12/04,22:00,9.89,0.0
2024/12/04,23:00,9.88,0.0
2024/12/05,00:00,9.87,0.0
2024/12/05,01:00,9.88,0.0
2024/12/05,02:00,9.89,0.0
2024/12/05,03:00,9.88,0.0
2024/12/05,04:00,9.89,0.0
2024/12/05,05:00,9.91,0.0
2024/12/05,06:00,9.91,0.0
2024/12/05,07:00,9.94,0.0
2024/12/05,08:00,9.91,0.0
2024/12/05,09:00,9.94,0.0
2024/12/05,10:00,9.92,0.0
2024/12/05,11:00,9.95,0.0
2024/12/05,12:00,9.95,0.0
2024/12/05,13:00,9.97,0.0
2024/12/05,14:00,9.99,0.0
2024/12/05,15:00,10.04,0.0
2024/12/05,16:00,10.10,0.0
2024/12/05,17:00,10.12,0.0
2024/12/05,18:00,10.13,0.0
2024/12/05,19:00,10.11,0.0
2024/12/05,20:00,10.15,0.0
2024/12/05,21:00,10.17,0.0
2024/12/05,22:00,10.18,0.0
2024/12/05,23:00,10.21,0.0
2024/12/06,00:00,10.19
