Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : CORRAL QUEMADO
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,CUMBA
Latitud :,5°45'16.6'',Longitud :,78°41'31.5'',Altitud :,427 msnm.
Tipo :,EHA - Hidrológica,Código :,472B607A
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2026/04/06,04:00,10.06,0.0
2026/04/06,05:00,10.06,0.0
2026/04/06,06:00,10.04,0.0
2026/04/06,07:00,10.04,0.1
2026/04/06,08:00,10.02,0.0
2026/04/06,09:00,10.02,0.0
2026/04/06,10:00,10.01,0.0
2026/04/06,11:00,10.04,0.0
2026/04/06,12:00,10.04,0.0
2026/04/06,13:00,10.05,0.0
2026/04/06,14:00,10.04,0.0
2026/04/06,15:00,10.03,0.0
2026/04/06,16:00,10.03,0.0
2026/04/06,17:00,10.02,0.0
2026/04/06,18:00,10.01,0.0
2026/04/06,19:00,9.99,0.0
2026/04/06,20:00,9.98,0.0
2026/04/06,21:00,9.99,0.0
2026/04/06,22:00,9.96,0.0
2026/04/06,23:00,9.97,0.0
2026/04/07,00:00,9.96,0.0
2026/04/07,01:00,9.95,0.0
2026/04/07,02:00,9.96,0.0
2026/04/07,03:00,9.96,0.0
2026/04/07,04:00,9.94,0.0
2026/04/07,05:00,9.94,0.0
2026/04/07,06:00,9.93,0.0
2026/04/07,07:00,9.94,0.0
2026/04/07,08:00,9.95,0.1
2026/04/07,09:00,9.93,0.0
