Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE AGUAYTIA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,9°2'14.56'',Longitud :,75°30'16.15'',Altitud :,278 msnm.
Tipo :,HLG - Hidrológica,Código :,231201
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2026-04-01,0.800,0.880,0.840,0.810
2026-04-02,0.750,0.850,0.940,0.950
2026-04-03,0.850,0.900,0.850,0.950
2026-04-04,0.990,0.790,0.800,0.780
2026-04-05,1.270,1.200,1.220,1.330
2026-04-06,0.790,0.900,0.880,0.000
