Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUERTO ALMENDRA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,SAN JUAN BAUTISTA
Latitud :,3°49'38.75'',Longitud :,73°22'38.68'',Altitud :,95 msnm.
Tipo :,HLM - Hidrológica,Código :,240302
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2019-12-01,8.24,8.25,8.25,8.26,8.25
2019-12-02,8.30,8.31,8.32,8.33,8.32
2019-12-03,8.36,8.36,8.36,8.37,8.36
2019-12-04,8.38,8.38,8.38,8.38,8.38
2019-12-05,8.40,8.40,8.41,8.42,8.41
2019-12-06,8.47,8.48,8.48,8.49,8.48
2019-12-07,8.50,8.51,8.52,8.53,8.52
2019-12-08,8.56,8.57,8.58,8.60,8.58
2019-12-09,8.60,8.62,8.65,8.70,8.64
2019-12-10,8.74,8.76,8.79,8.82,8.78
2019-12-11,8.85,8.88,8.91,8.95,8.90
2019-12-12,8.98,8.98,8.99,9.01,8.99
2019-12-13,9.05,9.06,9.06,9.06,9.06
2019-12-14,9.06,9.06,9.06,9.07,9.06
2019-12-15,9.10,9.11,9.12,9.14,9.12
2019-12-16,9.17,9.17,9.17,9.14,9.16
2019-12-17,9.14,9.14,9.14,9.14,9.14
2019-12-18,9.13,9.12,9.11,9.10,9.12
2019-12-19,9.12,9.13,9.13,9.14,9.13
2019-12-20,9.14,9.14,9.15,9.15,9.15
2019-12-21,9.18,9.18,9.17,9.17,9.18
2019-12-22,9.16,9.16,9.15,9.15,9.16
2019-12-23,9.16,9.17,9.19,9.20,9.18
2019-12-24,9.20,9.21,9.22,9.22,9.21
2019-12-25,9.25,9.26,9.27,9.28,9.27
2019-12-26,9.28,9.29,9.29,9.30,9.29
2019-12-27,9.30,9.30,9.31,9.31,9.31
2019-12-28,9.31,9.32,9.32,9.32,9.32
2019-12-29,9.32,9.33,9.34,9.36,9.34
2019-12-30,9.37,9.37,9.38,9.39,9.38
2019-12-31,9.44,9.45,9.47,9.49,9.46
