Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : FLOR DE PUNGA
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,CAPELO
Latitud :,5°24'27.64'',Longitud :,74°9'24.71'',Altitud :,103 msnm.
Tipo :,HLM - Hidrológica,Código :,251100
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2022-04-01,14.95,14.95,14.95,14.95,14.95
2022-04-02,14.95,14.95,14.95,14.95,14.95
2022-04-03,14.96,14.96,14.96,14.96,14.96
2022-04-04,14.96,14.96,14.96,14.96,14.96
2022-04-05,14.96,14.96,14.96,14.96,14.96
2022-04-06,14.96,14.96,14.96,14.96,14.96
2022-04-07,14.96,14.96,14.97,14.97,14.97
2022-04-08,14.97,14.97,14.97,14.97,14.97
2022-04-09,14.97,14.97,14.97,14.97,14.97
2022-04-10,14.97,14.97,14.98,14.98,14.98
2022-04-11,14.98,14.98,14.98,14.98,14.98
2022-04-12,14.98,14.98,14.98,14.98,14.98
2022-04-13,14.98,14.98,14.99,14.99,14.99
2022-04-14,14.99,14.99,14.99,14.99,14.99
2022-04-15,14.99,14.99,14.99,14.99,14.99
2022-04-16,14.99,14.99,14.99,14.99,14.99
2022-04-17,14.99,14.99,14.99,14.99,14.99
2022-04-18,14.99,14.99,14.99,14.99,14.99
2022-04-19,14.99,14.99,14.99,14.99,14.99
2022-04-20,14.99,14.99,14.99,14.99,14.99
2022-04-21,14.99,14.99,14.99,14.99,14.99
2022-04-22,14.99,14.98,14.98,14.98,14.98
2022-04-23,14.98,14.97,14.97,14.96,14.97
2022-04-24,14.96,14.96,14.96,14.95,14.96
2022-04-25,14.95,14.95,14.94,14.94,14.95
2022-04-26,14.94,14.93,14.93,14.93,14.93
2022-04-27,14.91,14.90,14.90,14.89,14.90
2022-04-28,14.88,14.88,14.87,14.86,14.87
2022-04-29,14.86,14.86,14.85,14.85,14.86
2022-04-30,14.84,14.84,14.83,14.81,14.83
