Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : FLOR DE PUNGA
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,CAPELO
Latitud :,5°24'27.64'',Longitud :,74°9'24.71'',Altitud :,103 msnm.
Tipo :,HLM - Hidrológica,Código :,251100
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2019-01-01,19.37,19.37,19.37,19.37,19.37
2019-01-02,19.36,19.35,19.34,19.33,19.35
2019-01-03,19.32,19.31,19.30,19.27,19.30
2019-01-04,19.25,19.25,19.23,19.21,19.24
2019-01-05,19.19,19.19,19.19,19.17,19.19
2019-01-06,19.15,19.15,19.15,19.15,19.15
2019-01-07,19.09,19.08,19.07,19.05,19.07
2019-01-08,19.02,18.99,18.99,18.98,19.00
2019-01-09,18.96,18.95,18.92,18.91,18.94
2019-01-10,18.89,18.85,18.84,18.82,18.85
2019-01-11,18.81,18.81,18.81,18.81,18.81
2019-01-12,18.86,18.88,18.89,18.90,18.88
2019-01-13,18.95,18.98,18.99,19.02,18.99
2019-01-14,19.05,19.08,19.09,19.11,19.08
2019-01-15,19.18,19.21,19.24,19.27,19.23
2019-01-16,19.32,19.36,19.39,19.40,19.37
2019-01-17,19.45,19.48,19.49,19.52,19.49
2019-01-18,19.55,19.55,19.55,19.57,19.56
2019-01-19,19.65,19.66,19.67,19.68,19.67
2019-01-20,19.73,19.74,19.76,19.77,19.75
2019-01-21,19.79,19.81,19.83,19.85,19.82
2019-01-22,19.88,19.88,19.88,19.88,19.88
2019-01-23,19.93,19.95,19.97,19.98,19.96
2019-01-24,19.98,20.02,20.04,20.06,20.03
2019-01-25,20.09,20.09,20.09,20.09,20.09
2019-01-26,20.12,20.13,20.15,20.15,20.14
2019-01-27,20.17,20.18,20.19,20.19,20.18
2019-01-28,20.23,20.23,20.23,20.23,20.23
2019-01-29,20.25,20.25,20.27,20.27,20.26
2019-01-30,20.31,20.31,20.31,20.31,20.31
2019-01-31,20.33,20.33,20.36,20.39,20.35
