Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUCALLPA
Departamento :,UCAYALI,Provincia :,CORONEL PORTILLO,Distrito :,CALLARIA
Latitud :,8°24'47.62'',Longitud :,74°34'18.67'',Altitud :,162 msnm.
Tipo :,CP - Meteorológica,Código :,108021
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2021-02-01,32.4,22.2,78.2,0.0
2021-02-02,32.4,22.6,69.3,0.0
2021-02-03,32.2,22.8,71.2,0.0
2021-02-04,28.8,23.2,S/D,4.3
2021-02-05,32.8,22.2,72.7,17.5
2021-02-06,31.2,21.8,80.6,8.6
2021-02-07,32.4,21.8,75.8,0.0
2021-02-08,33.4,22.4,73.2,0.0
2021-02-09,S/D,23.6,S/D,46.4
2021-02-10,30,22,78.3,104.9
2021-02-11,24.4,20.2,S/D,8.0
2021-02-12,28,21.6,84.1,0.0
2021-02-13,32.2,22.4,79.3,0.0
2021-02-14,33.2,22.8,77.1,0.0
2021-02-15,31.8,23,83.1,0.0
2021-02-16,32.4,22.6,80.8,18.5
2021-02-17,30.4,21.6,84.4,58.5
2021-02-18,25.8,19.6,S/D,50.5
2021-02-19,30.4,21.4,77.7,0.0
2021-02-20,32.4,21.8,76.1,0.0
2021-02-21,31.2,23,82.4,0.0
2021-02-22,S/D,22.2,S/D,1.7
2021-02-23,32.4,21,79.1,0.0
2021-02-24,32.4,22.8,78.8,0.0
2021-02-25,S/D,23,S/D,0.0
2021-02-26,32.2,22.2,76.6,0.0
2021-02-27,29.2,23,85.6,56.8
2021-02-28,31.8,21,75.9,0.0
