Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUCALLPA
Departamento :,UCAYALI,Provincia :,CORONEL PORTILLO,Distrito :,CALLARIA
Latitud :,8°24'47.62'',Longitud :,74°34'18.67'',Altitud :,162 msnm.
Tipo :,CP - Meteorológica,Código :,108021
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2026-02-01,28.2,S/D,89.9,20.2
2026-02-02,32,22.8,78.1,0.0
2026-02-03,32.4,23.2,83.0,0.0
2026-02-04,32.4,23.8,80.0,0.0
2026-02-05,31.6,24.8,82.1,0.0
2026-02-06,31.4,24.4,82.6,0.0
2026-02-07,32.8,23.6,77.0,0.0
2026-02-08,31.4,24,83.4,0.0
2026-02-09,32.2,24.6,79.8,0.0
2026-02-10,33,24.8,76.9,0.0
2026-02-11,28,23.4,S/D,47.7
2026-02-12,29.8,23.4,82.6,3.8
2026-02-13,30.2,23.8,86.5,0.4
2026-02-14,28.4,23.6,84.7,0.0
2026-02-15,31.4,23.4,82.3,-888.0
2026-02-16,29,24,91.7,29.6
2026-02-17,29.4,23.8,85.8,0.4
2026-02-18,29.6,23,88.1,5.0
2026-02-19,31.8,22.8,77.9,0.6
2026-02-20,31.4,24.2,90.5,6.1
2026-02-21,30,23.4,85.4,0.0
2026-02-22,32.6,23.2,80.3,0.0
2026-02-23,32,24,81.2,2.5
2026-02-24,27,S/D,S/D,25.3
2026-02-25,29.8,22.8,82.8,0.0
2026-02-26,31.8,23.4,S/D,0.0
2026-02-27,33.4,24,76.5,0.0
2026-02-28,33.6,24.8,80.5,0.0
