Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUCALLPA
Departamento :,UCAYALI,Provincia :,CORONEL PORTILLO,Distrito :,CALLARIA
Latitud :,8°24'47.62'',Longitud :,74°34'18.67'',Altitud :,162 msnm.
Tipo :,CP - Meteorológica,Código :,108021
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2022-11-01,28.4,S/D,86.7,66.4
2022-11-02,27.8,16,91.3,0.0
2022-11-03,30.8,18.8,80.6,0.0
2022-11-04,32.6,20.2,74.6,0.0
2022-11-05,34,20.4,77.7,0.0
2022-11-06,34.2,22,S/D,0.0
2022-11-07,35.4,22.2,73.4,0.0
2022-11-08,35.2,23.4,74.5,0.0
2022-11-09,35.4,24.6,72.6,0.0
2022-11-10,27.4,S/D,S/D,22.9
2022-11-11,31.2,22.8,88.1,0.0
2022-11-12,34,23.4,79.8,0.0
2022-11-13,34.4,23.8,68.5,0.0
2022-11-14,33.4,S/D,88.7,19.6
2022-11-15,32.6,23.2,80.2,50.2
2022-11-16,24,22.4,S/D,33.0
2022-11-17,32.2,22.2,81.4,0.5
2022-11-18,34.4,24,78.5,0.0
2022-11-19,33.4,24.8,83.3,0.0
2022-11-20,33.6,23.6,82.2,0.0
2022-11-21,33.8,24.2,72.4,0.0
2022-11-22,31.8,S/D,S/D,45.8
2022-11-23,29.6,20.8,80.6,0.0
2022-11-24,31.8,22.6,75.8,0.0
2022-11-25,31.8,23.2,86.5,10.6
2022-11-26,34,22.2,74.7,0.0
2022-11-27,34.4,24.8,74.7,0.0
2022-11-28,35,25.4,77.9,0.0
2022-11-29,35.2,24.4,71.1,0.0
2022-11-30,33.2,24.8,80.7,0.0
