Estación : TIMICURILLO
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,INDIANA
Latitud :,3°31'25.38'',Longitud :,73°5'.39'',Altitud :,85 msnm.
Tipo :,HLM - Hidrológica,Código :,240202
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2018-01-01,7.70,7.71,7.72,7.74,7.72
2018-01-02,7.80,7.83,7.86,7.90,7.85
2018-01-03,8.05,8.07,8.09,8.12,8.08
2018-01-04,8.15,8.17,8.19,8.21,8.18
2018-01-05,8.28,8.29,8.31,8.32,8.30
2018-01-06,8.34,8.36,8.38,8.39,8.37
2018-01-07,8.43,8.44,8.45,8.46,8.45
2018-01-08,8.49,8.50,8.51,8.52,8.51
2018-01-09,8.54,8.55
