Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : TIMICURILLO
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,INDIANA
Latitud :,3°31'25.38'',Longitud :,73°5'.39'',Altitud :,85 msnm.
Tipo :,HLM - Hidrológica,Código :,240202
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2019-04-01,11.93,11.93,11.93,11.93,11.93
2019-04-02,11.93,11.93,11.93,11.93,11.93
2019-04-03,11.93,11.94,11.94,11.94,11.94
2019-04-04,11.94,11.94,11.94,11.94,11.94
2019-04-05,11.94,11.94,11.94,11.94,11.94
2019-04-06,11.94,11.94,11.94,11.94,11.94
2019-04-07,11.94,11.94,11.95,11.95,11.95
2019-04-08,11.96,11.96,11.96,11.96,11.96
2019-04-09,11.96,11.97,11.97,11.98,11.97
2019-04-10,11.99,11.99,11.99,11.99,11.99
2019-04-11,11.99,11.99,11.99,11.99,11.99
2019-04-12,11.99,11.99,11.99,11.99,11.99
2019-04-13,11.99,11.99,11.99,11.99,11.99
2019-04-14,11.97,11.97,11.96,11.96,11.97
2019-04-15,11.95,11.95,11.95,11.94,11.95
2019-04-16,11.94,11.94,11.94,11.94,11.94
2019-04-17,11.94,11.94,11.94,11.94,11.94
2019-04-18,11.94,11.94,11.94,11.94,11.94
2019-04-19,11.94,11.94,11.93,11.92,11.93
2019-04-20,11.90,11.90,11.90,11.89,11.90
2019-04-21,11.89,11.88,11.87,11.85,11.87
2019-04-22,11.81,11.80,11.79,11.78,11.80
2019-04-23,11.75,11.74,11.73,11.72,11.74
2019-04-24,11.70,11.70,11.70,11.69,11.70
2019-04-25,11.69,11.69,11.68,11.68,11.69
2019-04-26,11.68,11.67,11.67,11.66,11.67
2019-04-27,11.65,11.64,11.64,11.63,11.64
2019-04-28,11.60,11.60,11.59,11.58,11.59
2019-04-29,11.57,11.57,11.57,11.56,11.57
2019-04-30,11.55,11.55,11.54,11.54,11.55
