Estación : TIMICURILLO
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,INDIANA
Latitud :,3°31'25.38'',Longitud :,73°5'.39'',Altitud :,85 msnm.
Tipo :,HLM - Hidrológica,Código :,240202
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2019-02-01,10.35,10.36,10.37,10.38,10.37
2019-02-02,10.40,10.41,10.42,10.43,10.42
2019-02-03,10.45,10.47,10.48,10.50,10.48
2019-02-04,10.55,10.55,10.56,10.56,10.56
